"","LHS","RHS","support","confidence","coverage","lift","count"
"115","{cars}","{electric}",0.463675213675214,0.951754385964912,0.487179487179487,1.7033309852068,434
"116","{electric}","{cars}",0.463675213675214,0.829827915869981,0.558760683760684,1.7033309852068,434
"114","{power}","{electric}",0.19017094017094,0.855769230769231,0.222222222222222,1.53154875717017,178
"113","{power}","{cars}",0.189102564102564,0.850961538461538,0.222222222222222,1.74671052631579,177
"112","{energy}","{electric}",0.178418803418803,0.87434554973822,0.204059829059829,1.56479432993303,167
"108","{use}","{electric}",0.173076923076923,0.89010989010989,0.194444444444444,1.59300737503414,162
"111","{energy}","{cars}",0.173076923076923,0.848167539267016,0.204059829059829,1.74097547533756,162
"107","{use}","{cars}",0.169871794871795,0.873626373626374,0.194444444444444,1.79323308270677,159
"94","{old}","{electric}",0.167735042735043,0.96319018404908,0.174145299145299,1.72379734659644,157
"97","{clean}","{energy}",0.167735042735043,0.940119760479042,0.178418803418803,4.60707903564599,157
"98","{energy}","{clean}",0.167735042735043,0.821989528795812,0.204059829059829,4.60707903564599,157
"102","{clean}","{electric}",0.166666666666667,0.934131736526946,0.178418803418803,1.67179217091629,156
"109","{energy}","{power}",0.165598290598291,0.81151832460733,0.204059829059829,3.65183246073298,155
"110","{power}","{energy}",0.165598290598291,0.745192307692308,0.222222222222222,3.65183246073298,155
"101","{clean}","{cars}",0.164529914529915,0.922155688622755,0.178418803418803,1.89284588717302,154
